Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Change from Open,Gap,buffett_class,buffett_binary
ADBE,,,,,174350000000.0,26.94,409.07,-0.0127,961710.0,17.93,2.37,7.91,13.59,23.45,18.97,0.1055,0.1202,0.1553999999999999,0.1134999999999999,0.1419,,0.23,0.4728,0.3447,1.18,1.18,0.5,0.5,0.8839,0.3664,0.3063,,1.55,9.04,0.0398,0.0783,-0.1142,-0.3032,0.2335,63.96,0.001,-0.0126,1,1
ADI,,,,,104440000000.0,57.32,210.57,-0.0064,2306453.0,23.74,3.28,10.62,2.98,43.87,31.65,0.1552,0.2014,-0.021,0.1744,0.1347,0.0186,0.0381,0.0521,0.044,2.08,1.51,0.19,0.21,0.511,0.2348,0.1865,,1.0,7.15,0.0014,0.0547,-0.0232,-0.1485999999999999,0.326,51.76,0.0067,-0.0139,0,0
ADM,,,,,22970000000.0,17.04,47.81,-0.0032,657932.0,10.46,38.71,0.27,1.04,5.61,103.4,-0.1555,0.1412,0.0839,0.0044,0.0692,0.0438999999999999,0.0252,0.0603,0.0444,1.38,0.81,0.39,0.56,0.0625,0.0197,0.0163,,0.66,1.29,-0.0163999999999999,0.0076,-0.0843999999999999,-0.2764999999999999,0.1667,46.76,0.0044,-0.0075,0,0
ADP,,,,,130380000000.0,32.88,321.18,-0.0015,387076.0,29.49,3.75,6.45,22.27,48.6,28.25,0.0867,0.0907,0.1168,0.0877,0.063,0.0183,0.0663,0.7629,0.4384,1.02,1.02,0.56,0.75,0.503,0.2625,0.1979,,0.79,5.31,0.0366999999999999,0.0647,0.0915,-0.0081999999999999,0.3879999999999999,68.72,0.0060999999999999,-0.008,0,0
ADSK,,,,,62780000000.0,62.93,293.43,-0.0053,1798163.0,26.56,4.43,9.92,23.96,30.78,38.38,0.1356,0.1491,0.3967,0.142,0.1344,,0.0991,0.4236,0.2107,0.65,0.68,0.84,0.97,0.897,0.225,0.1598,,1.46,6.67,0.0215,0.0791,0.0452,-0.1018,0.5019,62.14,-0.0034999999999999,-0.0021,0,0
AEE,,,,,26570000000.0,21.3,96.03,0.0066,405096.0,18.1,2.94,3.36,2.12,421.67,,0.0694,0.0713,0.057,0.0724,0.0575,0.0295,0.0278,0.1023,0.0395999999999999,0.86,0.62,1.5,1.61,0.2696,0.1993,0.1531,,0.5,1.91,-0.0166,-0.0218,0.0445,-0.0771999999999999,0.3843,44.46,-0.0021,0.009,0,0
AEG,,,,,11040000000.0,14.85,6.97,0.0,10379752.0,6.95,0.36,0.45,1.46,,,1.1432,0.1736,-0.0757,0.4175,0.2196,0.0643,0.0022,0.0935999999999999,0.051,4.14,,0.93,0.94,,0.0308,0.0304,,0.92,0.15,0.0322,0.0725,0.1027,-0.0176,0.2851,65.01,0.0227999999999999,-0.023,0,0
AEM,,,,,59720000000.0,25.1,118.13,0.0308999999999999,2048943.0,18.4,2.42,6.69,2.74,51.81,26.2,0.4677,0.0338,0.1368,0.1039,0.2758,0.0124,0.0796,0.1144999999999999,0.1036999999999999,2.37,1.2,0.05,0.06,0.4561,0.422,0.2648,,0.49,3.82,0.0449,0.0596999999999999,0.2855,-0.0686,0.8736,58.35,0.0070999999999999,0.023,0,0
AEP,,,,,54760000000.0,19.78,102.51,0.0069999999999999,637088.0,16.3,3.17,2.68,2.0,109.76,,0.0436,0.0721,0.0756,0.0624,0.0535,0.0366999999999999,0.0273,0.1041,0.0415,0.42,0.31,1.44,1.72,0.3157,0.2371,0.1351,,0.41,2.08,-0.0191,-0.0256999999999999,0.0207,-0.0722,0.1928,44.47,-0.0014,0.0083,0,0
AER,,,,,19910000000.0,10.04,112.74,0.0058,377593.0,8.56,1.55,2.57,1.16,15.67,,0.0214,0.0729,0.0536,0.0646,0.0935,0.0091,0.0298,0.1252,0.0337,0.57,0.55,2.69,2.69,0.5675,0.5052,0.276,,1.39,2.39,0.0259,0.091,0.1513,-0.0152,0.3706,67.29,0.0216,-0.0161,0,0
AFL,,,,,55540000000.0,16.03,102.72,0.0026,608904.0,14.35,11.8,3.29,2.12,,22.71,-0.0679,0.0659,0.1682999999999999,0.0136,-0.0308,0.0222,0.0294,0.1441,0.1069,1.83,,0.28,0.29,,0.2718,0.2128,,0.82,2.14,-0.0274,-0.0391,-0.0418,-0.1101,0.1888,39.78,0.0077,-0.0044,0,0
AFRM,,,,,16040000000.0,,49.73,0.0155,4217089.0,61.61,,5.32,5.56,6.35,26.26,1.0307,14.6812,-0.2616,,0.5650999999999999,,-0.0063,-0.0226,-0.0062,13.21,13.21,2.5,2.5,0.8608,0.1414,-0.0207,,3.6,3.48,-0.0293,0.0507,-0.0343,-0.3986,1.2306,49.75,0.0501,-0.0349,0,0
AGI,,,,,11090000000.0,42.48,26.36,0.0265,1402041.0,17.56,1.78,7.9,3.08,34.77,58.11,0.5346,0.2072,0.2311,0.238,0.1510999999999999,0.0038,0.0549,0.0785,0.0666,1.49,0.94,0.07,0.08,0.4244,0.3609,0.1835999999999999,,0.57,1.04,0.012,-0.0116,0.2126,-0.1503999999999999,0.7547,51.33,-0.0034999999999999,0.0292,0,0
AIG,,,,,47170000000.0,18.29,81.85,-0.0021,1109374.0,10.52,0.84,1.73,1.15,,17.49,0.2716,0.2364,0.0625,0.217,-0.0766,0.0216,0.0087,0.0613,0.0564,0.95,,0.21,0.21,,0.1598,0.1038,,0.65,1.66,-0.0091,-0.0097,0.0636,-0.0701,0.1868,47.1,0.0079,-0.0093999999999999,0,0
AJG,,,,,86730000000.0,52.1,338.67,0.0095,262417.0,24.92,3.73,7.26,3.88,5.19,34.33,0.1022,0.2212,0.1307,0.1396,0.109,0.0076,0.0231,0.0926999999999999,0.0445,,,0.57,0.6,0.9194,0.2076,0.1305,,0.74,7.42,0.015,0.0184,0.1074,-0.0348,0.3839,54.19,0.0066,0.0024,0,0
AKAM,,,,,11160000000.0,25.76,76.36,-0.0093,1057182.0,11.42,5.38,2.78,2.43,8.45,15.7,-0.0264,0.0599,0.0241,0.0479,0.0667,,0.0455,0.0982,0.0581,1.15,1.15,0.7,1.01,0.5497,0.1552,0.1125999999999999,,0.78,2.39,-0.04,-0.0266,-0.1692,-0.2849,0.1311999999999999,44.2,0.0034999999999999,-0.0127,0,0
ALAB,,,,,15680000000.0,405.29,95.08,0.0083,1895380.0,55.01,9.7,31.9,15.02,16.92,144.64,0.6069,0.2778,,0.4169,1.4361000000000002,,0.0417,0.0447,0.0397,13.92,13.26,0.0,0.0,0.7576,-0.0445,0.0843999999999999,,1.37,5.26,0.1865,0.3639,0.1971,-0.3549,1.6254,74.76,0.0449,-0.0351,0,0
ALC,,,,,42760000000.0,38.43,86.46,0.0037,769494.0,23.68,3.61,4.31,1.95,30.26,25.85,0.0301,0.1612,,0.1063,0.0615,0.004,0.037,0.0523,0.0414,2.7,1.66,0.23,0.24,0.5555,0.1539,0.1128,,0.97,2.09,-0.0681,-0.0578,-0.0549,-0.145,0.0741,35.66,0.017,-0.0132,0,0
ALGN,,,,,12380000000.0,31.07,170.74,-0.0108,186945.0,15.12,3.06,3.1,3.28,14.15,19.58,0.1035,0.0949,0.0033,0.1013,0.1281,,0.0668,0.1084,0.1055,1.21,1.08,0.02,0.03,0.7040000000000001,0.1639999999999999,0.1028999999999999,,1.64,6.93,-0.0527,-0.0052,-0.1798,-0.3722999999999999,0.2027,41.92,0.0118,-0.0239,0,0
ALL,,,,,53930000000.0,13.92,203.64,0.0055,303886.0,9.42,1.71,0.83,2.69,,6.01,-0.0231,0.2078,0.0391,0.0816,0.079,0.0194,0.0401,0.1987999999999999,0.1326999999999999,0.45,,0.34,0.37,,0.084,0.0601,,0.33,4.22,0.0053,0.0149,0.0535,-0.0438,0.2995,53.16,0.0053,0.0,0,0
ALLE,,,,,12140000000.0,19.8,141.06,-0.0040999999999999,189389.0,16.78,2.93,3.18,7.56,24.55,19.14,0.0403,0.0733,0.0969999999999999,0.0676,0.0595,0.0139,0.1405,0.4205,0.1684,2.17,1.51,1.3,1.34,0.4449,0.2107,0.1628,,1.04,2.74,-0.0013,0.0608,0.0405,-0.0956,0.2464,56.11,0.0046,-0.0078,0,0
ALLY,,,,,10330000000.0,24.71,33.62,-0.009,982946.0,6.2,0.68,0.66,0.87,,271.91,0.4793,0.5618,-0.1614,0.3646,0.0803999999999999,0.0356,0.0028,0.0384,0.0161,1.58,,0.85,1.4,,0.0462,0.027,,1.12,1.18,-0.0157,-0.0125,-0.0736,-0.2591,0.1409,46.33,0.0215,-0.0283,0,0
AMAT,,,,,128220000000.0,19.21,157.82,-0.0168,2990506.0,15.65,2.21,4.56,6.67,18.99,21.86,0.0965,0.0626,0.2462,0.087,0.1378,0.0108,0.2061,0.3636999999999999,0.273,2.46,1.76,0.31,0.35,0.4814,0.2967,0.2407,,1.69,5.57,-0.0127,0.0446,-0.0925,-0.3831,0.2758,49.71,0.0104,-0.0266999999999999,0,0
AMCR,,,,,20600000000.0,16.03,8.94,-0.0105,9948167.0,10.87,1.72,1.53,3.35,10.07,28.12,0.0347,0.1314,0.067,0.0933,0.0838,0.0571,0.0465,0.2071,0.0622,1.7,1.16,2.36,2.4,0.2,0.0998,0.0598,,0.74,0.21,-0.0332,-0.0484999999999999,-0.1202999999999999,-0.222,0.0670999999999999,39.13,-0.002,-0.0089,0,0
AMD,,,,,179120000000.0,80.98,110.47,-0.0022,18275812.0,19.19,2.86,6.45,3.08,24.45,65.02,0.2,0.4485,0.2691,0.2833,0.3335,,0.0319,0.039,0.0361,2.8,1.97,0.07,0.08,0.4515,0.1033,0.0803,,2.0,4.5,0.0412,0.0942,-0.127,-0.4103,0.444,57.88,0.0217,-0.0237,0,0
AME,,,,,41180000000.0,29.21,178.35,-0.001,255104.0,23.44,4.8,5.93,4.12,103.06,24.0,0.0362,0.0733999999999999,0.0956,0.0608,0.0670999999999999,0.0068,0.0953,0.1496,0.122,1.41,0.86,0.16,0.22,0.3618,0.262,0.2043,,1.11,3.64,0.0203,0.0486,0.0098999999999999,-0.102,0.2282,58.21,0.0112,-0.0135,0,0
AMGN,,,,,146050000000.0,24.79,271.61,-0.0011,1263616.0,12.62,5.75,4.3,23.52,16.57,13.38,0.0511,0.032,-0.1009999999999999,0.0431,0.0757,0.0355,0.0650999999999999,1.0567,0.0984999999999999,1.17,0.88,8.7,9.24,0.6743000000000001,0.2626,0.1748999999999999,,0.49,7.26,-0.0147,-0.0604,-0.0928,-0.2176,0.0713999999999999,43.97,0.0070999999999999,-0.0089,0,0
AMH,,,,,13880000000.0,34.79,37.5,-0.0034999999999999,508789.0,48.12,,7.78,1.94,63.4,17.55,-0.2609,-0.0242,0.3043,-0.1072,0.0874,0.0313,0.0316,0.0581,0.0329,,,0.69,0.69,0.2981,0.233,0.2232,,0.78,0.8,-0.017,0.0116999999999999,0.0097,-0.0919,0.1834,48.0,-0.0045,0.0008,0,0
AMT,,,,,98950000000.0,54.24,211.37,0.0052,647016.0,29.54,3.27,9.4,28.0,44.21,26.21,0.2681,0.1712999999999999,0.026,0.1659,0.0630999999999999,0.0323,0.0471,0.8005,0.0409999999999999,,,11.59,12.56,0.5428000000000001,0.4592,0.1734,,0.83,5.22,-0.0204,-0.0175,0.0081,-0.1316,0.226,46.42,-0.0076,0.0136,0,0
AMX,,,,,53940000000.0,32.55,17.62,0.0088,533165.0,10.22,0.53,1.15,2.89,31.25,9.28,2.3658,0.099,-0.176,0.6174000000000001,-0.0106,0.0405,0.0177,0.0853999999999999,0.0331,0.71,0.66,1.72,2.14,0.4311999999999999,0.2142,0.0355,,0.76,0.38,0.021,0.1159999999999999,0.136,-0.1101999999999999,0.3443,67.82,0.0103,-0.0023,0,0
AMZN,,,,,2141390000000.0,32.9,201.71,-0.0069,19156988.0,27.83,1.92,3.3,7.0,21.81,102.99,0.1188,0.1723,0.3689,0.1716,0.1830999999999999,,0.1123,0.2523999999999999,0.1502,1.05,0.84,0.44,0.49,0.4916,0.1115,0.1014,,1.34,6.44,0.0250999999999999,0.0572,0.0074,-0.1668,0.3328,56.21,0.0154,-0.0202,0,0
ANET,,,,,114790000000.0,38.67,91.4,-0.0125,3832164.0,30.59,2.37,15.43,11.34,14.08,30.31,0.1242,0.1699,0.2737,0.1628,0.2504,,0.2416,0.3368,0.2993,3.93,3.31,0.0,0.0,0.6409,0.4227,0.4072,,1.4,3.77,0.0097,0.1125999999999999,-0.0441999999999999,-0.3157,0.5379999999999999,55.69,0.0116999999999999,-0.0239,0,0
AON,,,,,76660000000.0,30.25,355.0,-0.0009,344122.0,18.79,2.97,4.7,10.97,57.74,29.09,0.0785,0.125,0.1442,0.1022,0.0764,0.0081,0.0559999999999999,0.7417,0.1063,,,2.42,2.64,0.8925,0.257,0.1559,,0.85,7.48,-0.0008,-0.0418,-0.0302999999999999,-0.1389,0.2928,44.69,0.0006,0.0002,0,0
APD,,,,,60090000000.0,39.24,270.03,0.0029,217977.0,20.66,8.92,5.0,4.09,37.48,,-0.0273,0.0805,0.1677,0.044,0.0683,0.0269,0.0414,0.1045,0.0523,1.0,0.85,1.01,1.12,0.3201,0.2351,0.1286999999999999,,0.87,6.54,-0.0081,-0.0216,-0.0935,-0.2087,0.1076999999999999,46.33,0.0109,-0.0081999999999999,0,0
APG,,,,,12860000000.0,89.81,45.79,0.0016,503745.0,19.27,7.19,1.8,4.31,27.95,21.39,0.1288,0.1441,-0.1678,0.1249,0.1418,,0.0314,0.0909,0.0237999999999999,1.47,1.38,0.99,1.02,0.2805,0.067,0.0197999999999999,,1.57,1.19,0.0525,0.1785999999999999,0.249,-0.0474,0.4892,75.47,0.0155,-0.0136,0,0
APH,,,,,103670000000.0,41.53,85.71,0.0053,2129846.0,29.38,2.19,6.18,10.06,61.99,46.61,0.4067,0.0966,0.1539,0.1893,0.1356,0.0078,0.1319,0.2753,0.1527,1.99,1.36,0.66,0.7,0.3394,0.2186,0.1558,,1.11,2.14,0.0394,0.1796,0.237,-0.0174,0.5648,72.26,0.0219,-0.0163,0,0
APO,,,,,75280000000.0,23.27,131.73,0.0069999999999999,1015178.0,14.05,1.61,3.01,4.53,4.54,18.29,0.0432,0.2076,0.1407,0.1442999999999999,0.8479000000000001,0.0154,0.0095,0.2117,0.1201,,,0.56,0.59,0.5618,0.2556,0.1348,,1.59,5.26,-0.0385,-0.0167,-0.0816,-0.3055,0.3837,44.72,0.0326,-0.0256999999999999,0,0
APP,,,,,119990000000.0,64.03,354.6,0.0089,3326208.0,30.74,1.4,23.33,208.2,217.43,47.3,0.7707999999999999,0.4357,0.8428,0.4571,0.3975,,0.35,2.8744,0.4699,1.68,1.68,6.1,6.45,0.7626999999999999,0.4717,0.3738,,2.45,21.79,0.0703,0.2017,0.3707,-0.3243999999999999,4.848,59.95,0.0405,-0.0298,0,0
APTV,,,,,14440000000.0,10.99,66.34,-0.0093999999999999,524613.0,8.39,0.84,0.74,1.66,13.13,8.44,0.1362,0.1123,0.126,0.1313,0.071,,0.0667,0.1552,0.0915,1.61,1.11,0.9,0.94,0.1926,0.1171,0.0793,,1.47,2.07,0.0511,0.1178999999999999,0.0542999999999999,-0.2226,0.406,63.37,0.0247,-0.0331,0,0
AR,,,,,12240000000.0,54.42,39.41,0.0092,1009182.0,9.69,0.46,2.64,1.7,,12.92,8.0039,0.2976,,1.1931,0.1955,,0.0172,0.0321,0.0218,0.39,0.39,0.46,0.53,0.1235,0.0725,0.0494,,0.69,1.31,0.0379,0.0548,0.1845,-0.0761,0.6053999999999999,58.25,0.0074,0.001,0,0
ARCC,,,,,14860000000.0,10.56,21.55,0.0012,1229898.0,10.72,,4.92,1.09,,,-0.132,-0.0069999999999999,,,,0.0891,,,,,,,,,,,,0.72,0.42,0.0143,0.0192,-0.0032,-0.0963,0.1798999999999999,54.21,0.0125,-0.0112,0,0
ARE,,,,,11710000000.0,88.88,67.7,-0.0132,564472.0,29.43,2225.39,3.78,0.66,24.25,8.55,-0.0466,0.3425,-0.1042,0.0004,0.1543,0.0786,0.0034999999999999,0.0073,0.0043,,,0.74,0.78,0.2999,0.1834,0.0421999999999999,,1.27,2.48,-0.0629,-0.161,-0.3312,-0.4785999999999999,0.0054,31.67,0.0007,-0.0118,0,0
ARES,,,,,52680000000.0,93.23,161.3,0.0089,536892.0,24.8,3.77,11.33,7.9,29.18,22.66,0.2998,0.2586,0.1431,0.2471,0.3162,0.0279999999999999,0.0156,0.1297,0.02,,,2.99,3.0,0.8245999999999999,0.2825,0.0766,,1.39,5.95,-0.0106,0.0673,-0.0125,-0.1967,0.4558,51.62,0.0316,-0.0235,0,0
ARM,,,,,134340000000.0,170.58,127.1,-0.0169,1782131.0,53.17,7.62,33.51,19.63,47.53,754.33,0.102,0.3301,0.1846999999999999,0.2237,0.1926999999999999,,0.094,0.1305,0.1107,5.2,4.96,0.05,0.05,0.947,0.2073999999999999,0.1977,,4.3,5.76,0.0247,0.1128,-0.0478,-0.3265,0.5891,56.25,0.0089,-0.0254,0,0
ARMK,,,,,10280000000.0,30.19,39.23,0.009,519596.0,17.22,1.55,0.58,3.41,10.1,27.69,0.2484,0.1767,-0.1114,0.1943,0.03,0.0107,0.0266999999999999,0.1177,0.0371,1.21,1.08,2.11,2.27,0.0579999999999999,0.0438999999999999,0.0197,,1.25,0.99,0.0533,0.1206,0.0559999999999999,-0.0773,0.3103,65.95,0.0185,-0.01,0,0
AS,,,,,20660000000.0,100.35,37.31,-0.0048,1675925.0,38.84,2.66,3.79,3.96,48.93,148.26,0.5575,0.3117,,0.3768999999999999,0.2072,,0.0242,0.0438,0.0311,1.66,0.8,0.24,0.29,0.5622,0.1074,0.037,,3.68,1.84,0.2635,0.3812,0.5801,-0.0297,2.6875,81.3,0.0356,-0.0397,0,0
ASML,,,,,288560000000.0,30.92,733.72,-0.0093999999999999,825702.0,24.17,1.37,8.74,15.23,29.29,28.45,0.3274,0.1377,0.2473999999999999,0.2254,0.1923,0.0111,0.2044,0.5521,0.4078,1.52,0.91,0.21,0.21,0.52,0.3374,0.2832,,1.74,19.07,0.0223,0.06,-0.0083,-0.3397,0.2671,56.41,0.0118,-0.022,0,0
ASX,,,,,21090000000.0,20.66,9.7,-0.0177,9770157.0,11.69,0.67,1.12,2.25,7.6,,0.3959,0.2968,0.128,0.307,0.0794,0.0399,0.0475,0.1147,0.0755,1.04,0.82,0.5,0.7,0.1563,0.0691,0.0562999999999999,,1.27,0.3,0.0266,0.0733999999999999,-0.0066,-0.2453999999999999,0.3983,57.47,0.0151,-0.0324,0,0
ATI,,,,,10710000000.0,27.48,75.95,0.0106,738254.0,20.49,1.34,2.4,5.81,22.54,57.37,0.2055999999999999,0.2507,0.0667,0.2054,0.0331,,0.08,0.2542,0.1112,2.53,1.3,0.91,1.01,0.208,0.1307,0.0892999999999999,,1.08,2.36,0.0914,0.3201,0.2843,-0.0102,0.9363,79.06,0.0256999999999999,-0.0144999999999999,0,0
ATO,,,,,24910000000.0,21.89,156.81,0.0098,385676.0,20.21,3.17,5.56,1.9,45.76,,0.0582,0.0753,0.0943,0.0691,0.081,0.0224,0.0446,0.0917999999999999,0.0526,1.33,1.25,0.65,0.65,0.4246999999999999,0.3329999999999999,0.2532999999999999,,0.71,3.13,-0.0101,0.0121999999999999,0.0885,-0.0626999999999999,0.4144,49.91,0.0031,0.0075,0,0
AU,,,,,22330000000.0,19.03,44.34,0.034,1386798.0,8.55,0.8,3.84,3.29,14.72,25.6,1.2613,0.0347,,0.236,0.1131,0.0542999999999999,0.0941,0.1942,0.1137,2.34,1.57,0.3,0.33,0.3137999999999999,0.2689,0.1732999999999999,,0.49,1.85,0.0544,0.1193999999999999,0.431,-0.0569,0.9986,58.71,-0.0056,0.0373,0,0
AUR,,,,,10710000000.0,,6.05,0.0040999999999999,7441411.0,,,,5.95,9.2,,-0.0338,0.0444,-0.2476,0.0537,-0.294,,-0.3803,-0.4343,-0.4199,9.54,9.54,0.06,0.06,,,,,2.65,0.59,-0.1398,-0.1099,-0.0349,-0.4392,1.8762,40.75,0.0203,-0.0182,0,0
AVGO,,,,,1080510000000.0,110.84,229.8,-0.0032,7090411.0,29.46,4.88,19.8,15.47,116.02,52.08,0.3581,0.1785,0.1391,0.2271999999999999,0.1869,0.0103,0.0605999999999999,0.1485,0.0771,1.0,0.91,0.87,0.95,0.5959,0.3482,0.1846999999999999,,1.09,7.95,0.0697,0.1963,0.2092999999999999,-0.0873,0.7890999999999999,69.56,0.0128,-0.0154,0,0
AWK,,,,,27870000000.0,26.02,142.91,0.0075,256786.0,23.28,4.01,5.79,2.65,134.62,,0.0613999999999999,0.0729,0.0944999999999999,0.0649,0.0549,0.0227999999999999,0.0333,0.1043,0.0448,0.49,0.44,1.27,1.38,0.4339,0.3661,0.2224,,0.7,3.4,-0.0056999999999999,-0.0103,0.038,-0.0814,0.203,49.12,-0.0038,0.0109,0,0
AXP,,,,,200490000000.0,19.99,286.17,-0.0034999999999999,764204.0,16.45,1.59,2.66,6.43,3.82,17.72,0.0839,0.1452999999999999,0.119,0.126,0.1084,0.0115,0.037,0.3402,0.123,,,1.64,1.69,0.6089,0.2012,0.1346,,1.25,7.51,0.0046999999999999,0.06,0.0214,-0.1227999999999999,0.2984,54.07,0.0137,-0.0169,3,1
AZN,,,,,218670000000.0,28.33,70.51,0.008,2318619.0,13.85,2.53,3.97,5.32,40.48,19.04,0.0983,0.128,0.3463,0.1119,0.1777,0.0229,0.0745,0.1981,0.1128,0.9,0.7,0.68,0.77,0.7258,0.2062999999999999,0.1414,,0.38,1.5,0.0107,-0.0005,-0.0334,-0.1971,0.1495,53.65,0.0064,0.0,0,0
B,,,,,32830000000.0,14.34,19.09,0.0227999999999999,6987763.0,8.5,0.72,2.47,1.34,8.0,18.06,0.4399,0.2385,-0.1152,0.1992,0.0672,0.0212,0.0494,0.0969999999999999,0.0797,2.87,2.16,0.19,0.19,0.3722999999999999,0.3579,0.175,,0.25,0.59,0.0235,0.0013,0.0342,-0.1063,0.2627,53.34,0.0,0.022,0,0
BA,,,,,152560000000.0,,202.34,-0.0053,2632554.0,51.18,,2.2,,6.44,,0.9412,4.2957,-0.748,,-0.0154,0.0002,-0.0791,,-0.2751,1.23,0.37,,,-0.0203,-0.1463,-0.1678,,1.42,5.3,0.0365,0.1445,0.2094,-0.0356999999999999,0.5686,67.07,0.0111,-0.017,0,0
BABA,,,,,289160000000.0,16.21,120.77,-0.0059,4979987.0,11.15,1.55,2.09,2.04,4.44,20.24,0.0586,0.126,-0.0131,0.1043,0.1485999999999999,0.0088,0.073,0.1304,0.1071,1.55,1.48,0.21,0.23,0.3932,0.1469,0.1303,,0.24,4.23,-0.0311,-0.0259,0.1626999999999999,-0.187,0.6807,46.04,0.0077,-0.0141999999999999,0,0
BAC,,,,,326390000000.0,12.94,43.33,0.0006,19091176.0,10.19,0.89,1.64,1.19,,8.97,0.1362,0.1657999999999999,0.0314,0.1452,0.1355,0.025,0.0084,0.0946,0.0446,0.96,,1.0,2.47,,0.1534,0.1328,,1.3,1.1,0.0213,0.066,0.0176,-0.0993999999999999,0.3095,59.06,0.0192999999999999,-0.0192,3,1
